,Job_Titles,Job_Links,Job_Skills,Job_Types,Companies_Name,Companies_Location
0,Senior Machine Learning Engineer,https://wuzzuf.net/jobs/p/YDxhBIJimaOR-Senior-Machine-Learning-Engineer-Media-Sci-Cairo-Egypt?o=1&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Machine Learning · Software Engineering · Python · OOP · NLP,Full TimeWork From Home,Media Sci,"New Cairo, Cairo, Egypt"
1,Machine Learning Engineer,https://wuzzuf.net/jobs/p/63GDVXe1mip9-Machine-Learning-Engineer-Edentech-Giza-Egypt?o=2&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Engineering · Computer Science · Information Technology (IT) · Machine Learning · SQL,Full Time,Edentech,"Dokki, Giza, Egypt"
2,Research Software Development Engineer L2,https://wuzzuf.net/jobs/p/yhXbcd0M8byl-Research-Software-Development-Engineer-L2-TensorGraph-Cairo-Egypt?o=3&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · NodeJS · Python · AWS · Algorithms · Data Structures,Full Time,TensorGraph,"Maadi, Cairo, Egypt"
3,Data Scientist,https://wuzzuf.net/jobs/p/MXunj0kftZ1D-Data-Scientist-BlinkApp-Cairo-Egypt?o=4&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Information Technology (IT) · Machine Learning · MongoDB · Naive Bayes · NLP,Full Time,BlinkApp,"Nasr City, Cairo, Egypt"
4,Software Team Lead,https://wuzzuf.net/jobs/p/tDpJrj9GeBO6-Software-Team-Lead-TMentors-Cairo-Egypt?o=5&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Lead · Software Development · Software Engineering · team lead · Software · Design Patterns · SOLID Principles,Full Time,TMentors,"Maadi, Cairo, Egypt"
5,Python Developer - Internship,https://wuzzuf.net/internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=6&l=sp&t=sj&a=machine%20learning|search-v3|hpb,InternshipStudent · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Software Development · RPA · Data Science · AI · Machine Learning · Automation,Internship,TMentors,"Maadi, Cairo, Egypt"
6,Senior Research Scientist,https://wuzzuf.net/jobs/p/WjuL0LeHiwuo-Senior-Research-Scientist-Atomica-Cairo-Egypt?o=7&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Artificial Intelligence (AI) · Computer Vision · Image Processing · Computational Geometry · Mathematics · C++ · Software Development · Software Engineering,Full Time,Atomica,"Cairo, Egypt"
7,Junior Production Engineer,https://wuzzuf.net/jobs/p/45lysRZRecXG-Junior-Production-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt?o=8&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 1 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Production · Engineering · Mechanical Engineering · AutoCAD · ERP · ISO 90001 · Press Machines · Manufacturing,Full Time,Delta Egypt For Lighting,"Obour City, Cairo, Egypt"
8,Training Section Head,https://wuzzuf.net/jobs/p/KY4bSeU9W8aU-Training-Section-Head-Giza-Cable-Industries-Giza-Egypt?o=9&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 10 - 20 Yrs of Exp · Training/Instructor · Engineering · Training · Machine Learning,Full Time,Giza Cable Industries,"6th of October, Giza, Egypt"
9,Senior Java Developer,https://wuzzuf.net/jobs/p/1TQAeepNOzTT-Senior-Java-Developer-Media-Sci-Cairo-Egypt?o=10&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · MySQL · Software Development · Software Engineering · SOAP · Git,Full TimeWork From Home,Media Sci,"New Cairo, Cairo, Egypt"
